210434,31715828,1784572,12941962,343427,6123241,2367587,1177988,4614317,0,60776,14094733,0,5159289,392911,431074,2872,9888,9413766,462676,6339731
212465,5321558,723,997506,222340,17749467,2195653,1322571,0,6205,169146,37802689,0,17144047,1196852,223353,0,0,2982843,532363,9094056
75633,15136342,790387,3105001,1945236,5536074,2019071,199927,2019650,8905,1714347,25736979,0,12287606,94776,6791538,0,1437781,4954488,834071,11412859
3284070,2704300,198813,930278,140,6036271,2320167,0,0,4067,0,14719039,0,31094065,0,25998052,0,0,0,356534,11125831
280110,4260544,2450,63,49242,15915442,0,5000,13000,3,8433,21697291,1,18080665,207427,8731026,0,28893,9821954,376179,8788962
3150447,15296000,0,3464000,0,39592000,8764000,3219000,4171000,0,0,9790000,0,0,0,969000,0,0,140000,69000,388000
722777,2240428,8996,1178,2060291,12083810,1611967,829814,2043353,5215,0,35435314,0,12491995,0,2434580,0,0,2870702,1159926,8817738
2253891,2638991,0,0,0,6883983,2389486,0,138135,84394,0,0,0,4555356,0,51872270,8654481,0,48,426705,6112747
501105,2042932,20167,7696,227176,5226309,62108,109499,900,99405,142200,42936046,10564,14157531,128427,5224173,0,1701,3524085,290838,8794720
1456501,12672000,13748000,0,0,15784000,3960000,2347000,271000,0,9529000,240000,0,7757000,0,7184000,0,2127000,3121000,231000,1697000
30810,2443360,2458961,2233381,34041,1352729,150532,92895,0,188937,0,9565,0,205601,0,61998547,0,0,2856,0,2453455
697633,6132858,16944,96065,1497383,7115573,170503,4950,50,125255,15935,25592575,0,13021390,0,2745410,0,0,3974233,497815,8872636
60143,4433675,20034,15166,41517,9922929,658,156176,57463,84467,100000,13714927,0,25206523,874242,525900,0,8422,5737685,509665,4471439
804963,2654065,1805129,50849,603108,5582971,122029,0,0,6452,0,21238804,0,6304415,0,11765856,0,33741,5909816,292302,7684525
619877,9138796,3302074,669439,357827,4991509,827686,9803,0,0,0,10639162,0,0,0,28424233,0,0,7513,7199,1042661
12311,1203252,51769,407626,510653,6025715,988991,391228,565386,13591,0,22042948,0,11524082,0,5436264,0,94,2464511,308076,4786537
214807,12620000,0,0,0,27000,0,12000,0,0,15156000,5725000,26000,4368000,4000,280000,0,1116000,8272000,86000,8764000
3212149,12405877,948735,0,635,7969795,0,0,0,0,0,3797046,0,4817724,0,17218304,0,0,365392,1628,231341
370271,2566891,0,2727151,31346,20220016,0,4455,0,125961,0,9726426,0,11392,0,842624,0,0,6010370,84084,3841613
2362458,12000,0,0,0,0,0,0,0,0,15549000,28766000,0,0,0,9000,0,0,0,102000,166000
694904,1754484,0,786628,63278,2812388,19063,199816,0,164491,555835,29700823,0,197447,0,16518,0,0,385754,458848,4387057
564605,809650,0,39011,0,11017499,0,420590,0,7467,18393,27167509,0,10746,0,26002,0,0,23,356467,1027393
2966306,4621086,0,2606,20643,139955,450346,0,0,24732,0,0,0,16868366,0,15552521,0,0,8863,219496,621419
517900,451263,20707,408543,607605,7870688,2514701,829090,15461,23915,33654,13625524,0,4214017,0,1229323,0,0,796520,437494,3955297
1394676,11897269,0,822,16240,83462,686772,0,0,24852,0,0,0,62320,0,20375706,0,0,9920,14114,1741339
4114567,602264,0,0,2591513,745843,167500,0,0,766,30901,24808527,0,1856984,0,609908,0,0,915971,162459,2024930
3041974,7759225,0,0,12063,9130181,0,0,0,0,0,8013259,0,4867449,0,1141502,0,25002,333319,79911,2948593
1216022,1375525,0,0,39169,148498,0,0,0,4144,0,10862,0,1081624,0,27266658,0,0,10565,2962,1450762
