3284070,3647173,0,658412,1221,6336559,2443195,0,0,4093,0,15733819,0,25158101,0,23230654,0,0,1888430,446988,6555698
501105,1492292,25630,37121,275470,6530869,52780,172598,900,205180,176850,38303863,6282,12666229,109399,5336497,0,2277,3028218,353046,9014054
2253891,1811731,69824,30885,0,5071556,3920263,0,151766,94156,0,0,0,4782110,0,44527163,8511831,305963,38,194203,4330560
30810,2224417,2767048,2749408,40796,56640,345811,540822,0,158341,0,11102,0,217888,0,58526827,0,0,2796,142967,2238663
1456501,12233000,12754000,0,1000,14567000,644000,0,0,0,9618000,326000,0,7083000,0,4447000,0,2124000,2202000,226000,827000
697633,3066366,60,122737,1193045,7152259,187110,4758,300,117238,4805,25829372,0,11179049,0,2474944,0,0,2629670,557787,9639283
804963,3596236,1032316,121028,670589,5719660,173966,0,0,6096,0,20762112,0,5979205,0,10987080,0,100064,5843442,374511,7912187
60143,3572157,20059,29325,36087,9493494,602,408287,45915,70736,0,14778312,2798,22704670,695856,557675,0,37968,3935733,502167,4804827
12311,1246847,52672,700511,407392,5231237,919199,253641,776988,51016,0,22650809,0,9777226,0,6287834,0,151,1678796,286515,4807209
214807,22540000,0,539000,0,0,0,565000,0,0,149000,5468000,17000,4031000,3000,1099000,0,947000,5984000,131000,9800000
694904,1178194,0,854329,1285,2995618,15783,199851,0,36893,649904,28485779,0,235358,0,15596,0,0,10678,482452,4476634
1394676,13071931,0,251931,16921,105537,722363,202711,0,24841,0,0,0,39771,0,19360761,0,0,9853,14199,1862880
2362458,23000,0,0,0,0,0,0,0,0,0,34039000,0,0,0,18000,0,0,0,105000,299000
3212149,2143298,1224499,0,6058,9471898,0,0,0,0,0,1976396,0,4070975,0,14753509,0,0,439503,2126,202301
517900,839218,20644,395070,702705,10250403,276844,328966,14561,23654,11774,12501531,0,3319612,0,267853,0,0,478077,374518,3055116
3041974,5489399,0,0,11444,8605628,0,0,0,0,1500000,8644519,0,4373414,0,666491,0,25000,242271,106436,2901095
940311,1364000,31000,544000,137000,2415000,0,31000,0,2000,99000,10277000,3141000,1765000,125000,2261000,618000,0,1320000,102000,4287000
4114567,630780,0,0,2096512,721465,0,0,0,1501,4890,20536484,0,1264010,0,451021,0,0,389960,117066,1646225
1494240,2905412,0,349973,0,1082847,1740405,29445,1418625,0,25000,13081796,0,2494620,0,194776,0,0,1536109,191264,2751126
395238,2102963,426,715914,25318,2939259,0,6841,0,0,110328,15423052,0,3714355,0,476485,0,6335,537144,78100,1265505
339858,983543,1006,23205,367071,10791606,0,36532,600,36903,8542,5893763,0,4428026,0,408644,0,19041,709303,37916,1895973
2777650,183255,936518,67195,0,3788090,870963,47069,0,12913,205,16020765,0,1417690,0,0,0,0,513310,260894,1395805
485559,837523,93777,208110,42595,3237549,0,0,0,13217,443588,9971530,0,4122204,0,264477,0,21,2450283,191838,3067839
63069,242686,19182,2014284,461136,5378114,19584,54278,25212,1227,0,8389233,0,4364461,0,448802,0,114905,473838,107423,1516401
197478,813974,20725,576579,79947,1043085,2291,1093514,250874,6186,990316,9972733,64796,3326758,543317,557022,128,474790,22715,184409,2154741
917742,614282,1001,24049,847246,3804133,188388,1940,897,1786,7075,9910207,0,3257743,0,552359,0,11310,496923,191273,2165319
491224,1016397,777460,2523773,1041,267534,0,252820,0,0,10000,11183954,0,1758124,0,502794,0,0,592069,59389,1896539
601050,511645,362042,315929,1242129,4385259,2693143,141260,0,14982,861870,4602447,0,1873645,0,1675453,0,0,1059323,46177,892797
682563,2894200,2318139,250884,2260138,3301146,0,0,1000,0,19302,3768779,0,3481448,0,306277,0,149,439126,38001,1403697
266271,1392741,0,0,0,2326372,0,3100,100,0,0,9993971,0,1755023,164352,32138,0,0,2219092,150797,1225006
761806,280239,200,0,646358,5125274,28998,38214,0,0,751,8481406,0,2661496,0,37914,0,0,101990,144503,1360478
802866,828861,25964,2854520,100498,7530116,0,0,0,0,175496,912869,0,4881263,0,157407,0,74279,950497,95820,305364
3812165,1088,0,0,0,0,0,0,0,0,969748,15519552,0,0,0,84500,0,0,0,1372788,151559
3344611,3189331,0,0,0,0,0,0,0,0,2025,13121320,0,0,0,0,0,0,6369,1136819,536517
276579,2511586,13577,230668,514144,8246,621876,10138,0,44248,102159,9435647,0,2466522,0,235510,0,0,713026,92958,867376
1443266,252615,0,0,0,0,0,0,0,0,2099,16450652,0,0,0,0,0,0,0,566995,456214
688079,6000,0,0,1132000,0,136000,0,0,21000,2797000,433000,0,1725000,0,9065000,0,0,190000,99000,557000
980661,1715541,0,159120,340,3608979,151870,42677,0,18472,0,4831200,334170,1768543,111597,791176,92600,0,462758,23889,1834400
2502656,329569,0,0,0,93842,64026,0,0,0,0,0,0,0,0,14952904,0,0,0,0,304605
